title,genres,synopsis,rating,actors,directors
Demon Slayer: Kimetsu no Yaiba Infinity Castle,"Animation,Action,Fantasy","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",7.7,"Natsuki Hanae,Takahiro Sakurai,Akira Ishida",Haruo Sotozaki
Return to Silent Hill,"Mystery,Drama,Horror","When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",5.0,"Jeremy Irvine,Hannah Emily Anderson,Evie Templeton",Christophe Gans
Vanaveera,"Action,Drama",A descendant of the Vanara clan is pushed into conflict when a modern-day Ravana seizes his only bike for an election rally. What starts as a petty injustice soon erupts into a fierce fight for self-respect and dignity.,7.0,"Chammak Chandra,Simran Choudhary,Nandu Vijay Krishna",
The Wrecking Crew,"Action,Comedy,Crime,Mystery","Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",6.891,"Dave Bautista,Jason Momoa,Temuera Morrison",Ángel Manuel Soto
Rocky Aur Rani Kii Prem Kahaani,"Comedy,Drama,Family,Romance","Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?",6.0,"Alia Bhatt,Ranveer Singh,Jaya Bachchan",Karan Johar
The Deadly Little Mermaid,Horror,"Some secrets are better left at the bottom of the ocean. Once she's in your house, there is no escape. When a struggling artist pulls a beautiful, unconscious woman from the freezing coastal waters, he thinks he’s performed a miracle. But as she recovers within the walls of his secluded home, a series of unsettling events leads him to a terrifying realization: her presence is no coincidence. She is inextricably linked to the same watery grave that claimed his family years ago.",5.194,"Elliott Eason,Sophia Carroll,Eleanor Mackenzie",Cameron Uzoka
The Shadow's Edge,"Action,Crime,Drama,Thriller",Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,7.2,"Jackie Chan,Zhang Zifeng,Tony Leung Ka-fai",Larry Yang
Hellfire,"Action,Thriller",A drifter with a mysterious past arrives in a small town and finds the residents in the grip of a ruthless crime boss and realizes he has to help them.,6.905,"Stephen Lang,Harvey Keitel,Scottie Thompson",Isaac Florentine
Do Not Enter,Horror,"A group of young explorers investigates an old abandoned hotel, only to encounter a strange supernatural being and a competing group looking for a legendary hidden treasure.",5.5,"Francesca Reale,Nicholas Hamilton,Adeline Rudolph",Marc Klasfeld
Agent Zeta,"Drama,Thriller","Four Spanish ex-intelligence officers are assassinated simultaneously worldwide. The CNI discovers all participated in the covert ""Operation Ciénaga"" decades ago in Colombia. Zeta, the CNI's best operative, must hunt and protect the sole survivor, facing his deadliest global mission yet. Top Colombian agent Alfa will join Zeta, seemingly knowing more about ""Ciénaga""'s secrets than him.",6.697,"Mario Casas,Mariela Garriga,Luis Zahera",Dani de la Torre
The Housemaid,"Mystery,Thriller","Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",7.214,"Sydney Sweeney,Amanda Seyfried,Brandon Sklenar",Paul Feig
Play Dead,Horror,"A woman wakes up injured in a basement surrounded by corpses. To survive, she pretends to be dead while a grotesque ritual unfolds in the house above.",6.0,"Paula Brasca,Damián Del Castillo,Marta Quarleri",Carlos Goitia
How to Make a Killing,"Comedy,Thriller","Disowned at birth by his obscenely wealthy family, blue-collar Becket Redfellow will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.",6.944,"Glen Powell,Margaret Qualley,Jessica Henwick",John Patton Ford
War of the Worlds,"Science Fiction,Thriller","Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",4.162,"Ice Cube,Eva Longoria,Clark Gregg",Rich Lee
Sparks,"Action,Thriller",A masked vigilante who discovers the dark side to heroism. Going after the nation's most notorious super criminal leaves Sparks' life and reputation in ruins.,4.8,"Chase Williamson,Ashley Bell,Clancy Brown","Todd Burrows,Christopher Folino"
The Aryan Papers,"Adventure,War,History","Stuttgart, 1942: Nazis have cleared Jewish communities from towns and Villages. Two German-born Jewish children flee Nazis who have killed their family, escorted by Gisella, part of the Lebensborn, an SS Master Race program.",4.0,"Cara Chase,Leona Clarke,Richard Hawley",Danny Patrick
